episode_index,environment_steps,optimizer_step_calls_at_observation,sb3_update_counter_at_observation,record_phase,episode_metrics.aux_shift_kwh,episode_metrics.bess_throughput_kwh,episode_metrics.carbon_delta_kg,episode_metrics.carbon_kg,episode_metrics.degradation_cost_cny,episode_metrics.demand_charge_cny,episode_metrics.energy_cost_cny,episode_metrics.financial_delta_cny,episode_metrics.flex_deadline_violation_kwh,episode_metrics.guardrail_violation_rate,episode_metrics.guardrail_violations,episode_metrics.max_flex_age_hours,episode_metrics.nonzero_bess_action_rate,episode_metrics.nonzero_bess_actions,episode_metrics.nonzero_flex_action_rate,episode_metrics.nonzero_flex_actions,episode_metrics.peak_kw,episode_metrics.physical_power_violations,episode_metrics.projection_count,episode_metrics.projection_rate,episode_metrics.reserve_shortfall_kwh,episode_metrics.reward,episode_metrics.shore_sla_violation_kwh,episode_metrics.soc_max_observed,episode_metrics.soc_min_observed,episode_metrics.temperature_max_c,episode_metrics.terminal_flex_backlog_kwh,episode_metrics.terminal_soc_error,episode_metrics.total_cost_cny,episode_metrics.training_reward
12,2016,30,15,after_environment_step_before_replay_storage_and_optimizer,9813.665414876443,127695.91629921437,2664.6200337829996,2084211.1487229648,10215.673303937148,232390.92164210675,2637984.2475035517,35802.475987701364,0.0,0.0,0.0,12.0,0.9107142857142857,153.0,0.8571428571428571,144.0,26591.724351434677,0.0,1.0,0.005952380952380952,0.0,-4.144993966964605,0.0,0.7029164229235401,0.41664395428748435,25.18459880243413,0.0,0.0,2880590.8424495957,-392.18198264114676
13,2184,366,183,after_environment_step_before_replay_storage_and_optimizer,15730.949249442714,17547.375960883794,174.0062093178003,2181303.5377148497,1403.7900768706968,222603.91409136675,2760645.632565638,4469.507837945504,0.0,0.0,0.0,12.0,1.0,168.0,0.9107142857142857,153.0,25471.82945547359,0.0,0.0,0.0,0.0,-0.6958487019722881,0.0,0.58,0.40815221542549107,24.96786348554206,0.0,0.0,2984653.3367338753,-36.268035935151524
14,2352,702,351,after_environment_step_before_replay_storage_and_optimizer,21319.59608018966,17691.36629226967,805.8160202932322,2237291.21256483,1415.309303381567,230200.3607846125,2822039.8649652163,-2128.5871957238596,0.0,0.0,0.0,12.0,1.0,168.0,0.9880952380952381,166.0,26341.065719479862,0.0,0.0,0.0,0.0,-0.22965700374392425,0.0,0.58,0.4032336423753249,33.07586415889576,0.0,0.0,3053655.5350532103,-53.82234564483932
15,2520,1038,519,after_environment_step_before_replay_storage_and_optimizer,12095.069916816312,17691.1803489779,734.7557285403254,2073018.1422144338,1415.2944279182254,213044.33829082834,2616524.605633871,-191.9302445032041,0.0,0.0,0.0,12.0,1.0,168.0,0.9226190476190477,155.0,24377.958822282286,0.0,1.0,0.005952380952380952,0.0,-0.36674130475493627,0.0,0.58,0.4032355002600053,26.893252620288667,0.0,0.0,2830984.2383526177,-57.82080706070998
16,2688,1374,687,after_environment_step_before_replay_storage_and_optimizer,14470.183110604936,17691.26755551808,377.7451475493435,2162187.496303906,1415.3014044414397,222918.2590820436,2736455.3562065545,2895.3226233567425,0.0,0.0,0.0,12.0,1.0,168.0,0.9404761904761905,158.0,25507.79891281843,0.0,1.0,0.005952380952380952,0.0,-0.4858669576139115,0.0,0.58,0.4032346289207196,25.186441308449197,0.0,0.0,2960788.9166930392,-44.69622492073124
17,2856,1710,855,after_environment_step_before_replay_storage_and_optimizer,20137.07815183077,17691.376879358617,599.1832540774631,2082080.8587897078,1415.3101503486823,211913.93789038857,2627615.858708136,-624.6707095620663,0.0,0.0,0.0,12.0,1.0,168.0,0.8571428571428571,144.0,24248.610844130457,0.0,1.0,0.005952380952380952,0.0,-0.22286061467500723,0.0,0.58,0.4032335365925877,25.395060508883134,0.0,0.0,2840945.106748873,-44.81130677838673
18,3024,2046,1023,after_environment_step_before_replay_storage_and_optimizer,21610.19715016416,17691.37724514112,502.32673669000906,2253070.772794351,1415.3101796112828,232434.83983507604,2843363.878931419,485.43180331315665,0.0,0.0,0.0,12.0,1.0,168.0,0.9166666666666666,154.0,26596.749764962882,0.0,0.0,0.0,0.0,-0.5452314186928764,0.0,0.58,0.40323353293780834,32.73586797728501,0.0,0.0,3077214.0289461063,-42.613297951766484
19,3192,2382,1191,after_environment_step_before_replay_storage_and_optimizer,20998.02601604854,17691.336839837088,617.8717475797457,2064486.485354747,1415.3069471869603,208447.57235967126,2606678.0741947084,-963.7111099920486,0.0,0.0,0.0,12.0,1.0,168.0,0.9285714285714286,156.0,23851.966104125917,0.0,1.0,0.005952380952380952,0.0,-0.33876315734554113,0.0,0.58,0.4032339366544181,25.386665505870496,0.0,0.0,2816540.953501567,-44.611184256419364
20,3360,2718,1359,after_environment_step_before_replay_storage_and_optimizer,18565.950042045853,17189.910354161697,590.4766911614843,2100115.9748430373,1375.1928283329282,212232.85824219068,2651777.617044144,-1310.1925783257893,0.0,0.0,0.0,12.0,1.0,168.0,0.8452380952380952,142.0,24285.103844912326,0.0,1.0,0.005952380952380952,0.0,-0.26772552664575283,0.0,0.58,0.40824402643635377,24.50329765071054,0.0,0.0,2865385.6681146678,-40.68717240128975
21,3528,3054,1527,after_environment_step_before_replay_storage_and_optimizer,19736.682180280426,16827.78310598593,571.6767363449344,2064428.9124410315,1346.2226484788669,210664.2171801245,2605328.833010618,-1178.0061080369178,0.0,0.0,0.0,12.0,0.9821428571428571,165.0,0.8571428571428571,144.0,24105.60943766932,0.0,1.0,0.005952380952380952,0.0,-0.274563109846763,0.0,0.58,0.41186228370372185,25.95161740064621,0.0,0.0,2817339.2728392216,-39.84410836741018
